,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestExpense,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2024-06-30,USD,59553000000,147839000000,88286000000,73785000000,14672000000,13553000000,22304000000,14501000000,1180000000.0,-250416666.66666666,589000000,-18000000,948000000,15252000000,1767000000,589000000.0,13485000000.0,13090000000.0,14672000000,15620000000,13485000000
1,2024-03-31,USD,56617000000,142595000000,85978000000,72633000000,15307000000,12404000000,16960000000,13345000000,993000000.0,-644000000.0,644000000,-2673000000,941000000,12898000000,2467000000,644000000.0,10431000000.0,9873000000.0,13542000000,14483000000,10431000000
2,2023-12-31,USD,39401000000,169328000000,129927000000,92553000000,13209000000,36212000000,22038000000,39274000000,901000000.0,-713000000.0,713000000,289000000,2082000000,13666000000,3042000000,713000000.0,10644000000.0,12587000000.0,14379000000,16461000000,10624000000
3,2023-09-30,USD,52610000000,142183000000,89573000000,75022000000,11188000000,13112000000,21203000000,14551000000,776000000.0,-806000000.0,806000000,1031000000,1439000000,12185000000,2306000000,806000000.0,9879000000.0,8556000000.0,12991000000,14430000000,9879000000
4,2023-06-30,USD,48693000000,133552000000,84859000000,69373000000,7681000000,13947000000,18829000000,15486000000,661000000.0,-840000000.0,840000000,61000000,1539000000,7554000000,804000000,840000000.0,6750000000.0,7043000000.0,8394000000,9933000000,6750000000
5,2023-03-31,USD,43403000000,126605000000,83202000000,67791000000,4774000000,13215000000,17420000000,15411000000,611000000.0,-823000000.0,823000000,-443000000,1546000000,4120000000,948000000,823000000.0,3172000000.0,3686000000.0,4943000000,6489000000,3172000000
6,2022-12-31,USD,-1360000000,148376000000,1360000000,85640000000,2737000000,36751000000,3653000000,1360000000,445000000.0,-694000000.0,694000000,-3450000000,2118000000,-949000000,-1227000000,694000000.0,-2720000000.0,2906000000.0,-255000000,1863000000,278000000
7,2022-09-30,USD,40542000000,126381000000,85839000000,70268000000,2525000000,14075000000,16787000000,15571000000,277000000.0,-617000000.0,617000000,759000000,1496000000,2941000000,69000000,617000000.0,2872000000.0,539000000.0,3558000000,5054000000,2872000000
8,2022-06-30,USD,39590000000,120533000000,80943000000,66424000000,3317000000,12989000000,15468000000,14519000000,159000000.0,-584000000.0,584000000,-5545000000,1530000000,-2665000000,-637000000,584000000.0,-2028000000.0,-4445000000.0,-2081000000,-551000000,-2028000000
9,2022-03-31,USD,37013000000,115986000000,78973000000,66499000000,3669000000,10914000000,12270000000,12474000000,108000000.0,-472000000.0,472000000,-8570000000,1560000000,-5266000000,-1422000000,472000000.0,-3844000000.0,-4833000000.0,-4794000000,-3234000000,-3844000000
10,2021-12-31,USD,20863000000,136903000000,116040000000,82835000000,3460000000,30235000000,2001000000,34205000000,118000000.0,-482000000.0,482000000,11838000000,2970000000,14935000000,612000000,482000000.0,14314000000.0,14022000000.0,15417000000,18387000000,14323000000
11,2021-09-30,USD,34622000000,110212000000,75590000000,62930000000,4852000000,10163000000,12097000000,12660000000,119000000.0,-493000000.0,493000000,-163000000,2497000000,4311000000,1155000000,493000000.0,3156000000.0,2606000000.0,4804000000,7301000000,3156000000
12,2021-06-30,USD,36408000000,112755000000,76347000000,64176000000,7702000000,9682000000,11794000000,12171000000,106000000.0,-435000000.0,435000000,1261000000,2489000000,8646000000,868000000,435000000.0,7778000000.0,7919000000.0,9081000000,11570000000,7778000000
13,2021-03-31,USD,35035000000,108088000000,73053000000,62403000000,8865000000,8194000000,10584000000,10650000000,105000000.0,-399000000.0,399000000,1697000000,2456000000,10263000000,2156000000,399000000.0,8107000000.0,7621000000.0,10662000000,13118000000,8107000000
14,2020-12-31,USD,125555000000,125555000000,102441000000,79284000000,6873000000,20271000000,5242000000,24557000000,100000000.0,-414000000.0,414000000,1206000000,2886000000,7788000000,566000000,414000000.0,7199000000.0,8071000000.0,8202000000,11088000000,7222000000
15,2020-09-30,USD,29309000000,95717000000,66408000000,57106000000,6194000000,7102000000,9334000000,9302000000,118000000.0,-428000000.0,428000000,925000000,2200000000,6900000000,569000000,428000000.0,6331000000.0,6757000000.0,7328000000,9528000000,6331000000
16,2020-06-30,USD,27895000000,88509000000,60614000000,52660000000,5843000000,5925000000,8945000000,7954000000,135000000.0,-403000000.0,403000000,646000000,2029000000,6227000000,984000000,403000000.0,5243000000.0,5851000000.0,6630000000,8659000000,5243000000
17,2020-03-31,USD,22619000000,75050000000,52431000000,44257000000,3989000000,6280000000,7993000000,8174000000,202000000.0,-402000000.0,402000000,-406000000,1894000000,3279000000,744000000,402000000.0,2535000000.0,1458000000.0,3681000000,5575000000,2535000000
18,2019-12-31,USD,87437000000,87437000000,75900000000,53977000000,3879000000,18583000000,9740000000,22988000000,211000000.0,-455000000.0,455000000,418000000,3340000000,4054000000,786000000,455000000.0,3267000000.0,3711000000.0,4509000000,7849000000,3268000000
19,2019-09-30,USD,19574000000,69585000000,50011000000,41302000000,3157000000,6100000000,8022000000,8764000000,224000000.0,-396000000.0,396000000,-353000000,2609000000,2628000000,494000000,396000000.0,2134000000.0,1665000000.0,3024000000,5633000000,2134000000
20,2019-06-30,USD,18721000000,63021000000,44300000000,36337000000,3084000000,5561000000,7910000000,8049000000,215000000.0,-383000000.0,383000000,-27000000,2402000000,2882000000,257000000,383000000.0,2625000000.0,2675000000.0,3265000000,5667000000,2625000000
21,2019-03-31,USD,20582000000,59339000000,38757000000,33920000000,4420000000,4837000000,6841000000,4837000000,183000000.0,-366000000.0,366000000,164000000,2307000000,4397000000,836000000,366000000.0,3561000000.0,3586000000.0,4763000000,7070000000,3561000000
22,2018-12-31,USD,72383000000,72383000000,59490000000,44786000000,3786000000,14229000000,1452000000,15667000000,150000000.0,-387000000.0,387000000,-199000000,4262000000,3354000000,327000000,387000000.0,3023000000.0,3030000000.0,3741000000,8048000000,3027000000
23,2018-09-30,USD,18871000000,56218000000,37347000000,33003000000,3724000000,4344000000,6303000000,4412000000,117000000.0,-358000000.0,358000000,-93000000,3778000000,3391000000,508000000,358000000.0,2883000000.0,2783000000.0,3749000000,7502000000,2883000000
24,2018-06-30,USD,17899000000,52543000000,34644000000,30632000000,2983000000,4012000000,6432000000,4092000000,94000000.0,-343000000.0,343000000,-129000000,3630000000,2608000000,74000000,343000000.0,2534000000.0,2067000000.0,2951000000,6613000000,2534000000
25,2018-03-31,USD,16211000000,50712000000,34501000000,30735000000,1927000000,3766000000,5968000000,3829000000,80000000.0,-330000000.0,330000000,239000000,3671000000,1916000000,287000000,330000000.0,1629000000.0,1646000000.0,2246000000,5598000000,1629000000
26,2017-12-31,USD,60453000000,60453000000,43345000000,38495000000,2127000000,4484000000,221000000,5535000000,65000000.0,-338000000.0,338000000,17000000,3498000000,1872000000,16000000,338000000.0,1856000000.0,1874000000.0,2210000000,5625000000,1856000000
27,2017-09-30,USD,12528000000,43516000000,30988000000,27549000000,347000000,3439000000,128000000,3484000000,54000000.0,-228000000.0,228000000,143000000,2784000000,314000000,58000000,228000000.0,256000000.0,361000000.0,542000000,3131000000,256000000
28,2017-06-30,USD,11258000000,37812000000,26554000000,23451000000,628000000,3103000000,145000000,3169000000,44000000.0,-143000000.0,143000000,137000000,2488000000,664000000,467000000,143000000.0,197000000.0,387000000.0,807000000,3116000000,197000000
29,2017-03-31,USD,7985000000,35575000000,27590000000,22440000000,1005000000,2715000000,4402000000,5194000000,39000000.0,-139000000.0,139000000,48000000,2285000000,953000000,229000000,139000000.0,724000000.0,912000000.0,1092000000,3290000000,724000000
30,2016-12-31,USD,43741000000,43741000000,32253000000,28959000000,1255000000,997000000,999000000,3779000000,29000000.0,-133000000.0,133000000,15000000,2297000000,1163000000,414000000,133000000.0,752000000.0,285000000.0,1296000000,3593000000,749000000
31,2016-09-30,USD,6875000000,32596000000,25721000000,21260000000,575000000,2377000000,160000000,4493000000,26000000.0,-118000000.0,118000000,8000000,2083000000,481000000,229000000,118000000.0,252000000.0,302000000.0,599000000,2682000000,252000000
32,2016-06-30,USD,7073000000,30288000000,23215000000,19180000000,1285000000,2126000000,160000000,4090000000,24000000.0,-116000000.0,116000000,-14000000,1909000000,1164000000,307000000,116000000.0,857000000.0,900000000.0,1280000000,3189000000,857000000
33,2016-03-31,USD,6385000000,29011000000,22626000000,18866000000,1071000000,1933000000,161000000,3805000000,21000000.0,-117000000.0,117000000,81000000,1827000000,988000000,475000000,117000000.0,513000000.0,622000000.0,1105000000,2932000000,513000000
34,2015-12-31,USD,35747000000,35747000000,26787000000,24341000000,1108000000,694000000,167000000,2770000000,13000000.0,-115000000.0,115000000,-69000000,1752000000,935000000,453000000,115000000.0,485000000.0,434000000.0,1050000000,2802000000,482000000
35,2015-09-30,USD,5161000000,25242000000,20081000000,16755000000,406000000,1727000000,159000000,3369000000,13000000.0,-116000000.0,116000000,-56000000,1599000000,240000000,161000000,116000000.0,79000000.0,21000000.0,356000000,1955000000,79000000
36,2015-06-30,USD,4790000000,23071000000,18281000000,15160000000,464000000,1617000000,157000000,3169000000,12000000.0,-114000000.0,114000000,0,1504000000,358000000,266000000,114000000.0,92000000.0,227000000.0,472000000,1976000000,92000000
37,2015-03-31,USD,4271000000,22602000000,18331000000,15395000000,255000000,1510000000,152000000,2980000000,11000000.0,-115000000.0,115000000,-130000000,1426000000,14000000,71000000,115000000.0,-57000000.0,-298000000.0,129000000,1555000000,-57000000
38,2014-12-31,USD,29328000000,29328000000,22988000000,20672000000,591000000,936000000,148000000,2580000000,8000000.0,-74000000.0,74000000,-95000000,1380000000,419000000,205000000,74000000.0,634000000.0,97000000.0,493000000,1873000000,214000000
39,2014-09-30,USD,3257000000,20530000000,17273000000,14627000000,-544000000,1399000000,138000000,2677000000,9000000.0,-49000000.0,49000000,-50000000,1247000000,-642000000,-205000000,49000000.0,-437000000.0,-688000000.0,-593000000,654000000,-437000000
40,2014-06-30,USD,3467000000,19295000000,15828000000,13399000000,-15000000,1320000000,139000000,2457000000,11000000.0,-45000000.0,45000000,22000000,1109000000,-32000000,94000000,45000000.0,-126000000.0,-113000000.0,13000000,1122000000,-126000000
41,2014-03-31,USD,3437000000,19699000000,16262000000,14055000000,146000000,1197000000,133000000,2284000000,11000000.0,-42000000.0,42000000,5000000,1010000000,181000000,73000000,42000000.0,108000000.0,136000000.0,223000000,1233000000,108000000
42,2013-12-31,USD,25587000000,25587000000,20486000000,18806000000,510000000,718000000,125000000,1932000000,10000000.0,-39000000.0,39000000,-29000000,962000000,60000000,-179000000,39000000.0,272000000.0,261000000.0,99000000,1061000000,239000000
43,2013-09-30,USD,2884000000,17056000000,14172000000,12366000000,-25000000,972000000,117000000,1854000000,9000000.0,-36000000.0,36000000,9000000,834000000,-29000000,12000000,36000000.0,-41000000.0,72000000.0,7000000,841000000,-41000000
44,2013-06-30,USD,2745000000,15671000000,12926000000,11209000000,79000000,961000000,107000000,1782000000,9000000.0,-33000000.0,33000000,-38000000,757000000,-20000000,-13000000,33000000.0,-7000000.0,-7000000.0,13000000,770000000,-7000000
45,2013-03-31,USD,2658000000,16037000000,13379000000,11801000000,181000000,878000000,101000000,1642000000,10000000.0,-33000000.0,33000000,-77000000,701000000,100000000,18000000,33000000.0,82000000.0,2000000.0,133000000,834000000,82000000
46,2012-12-31,USD,17431000000,17431000000,17476000000,16137000000,405000000,677000000,94000000,1404000000,8000000.0,-27000000.0,27000000,-49000000,662000000,291000000,194000000,27000000.0,187000000.0,155000000.0,318000000,980000000,97000000
47,2012-09-30,USD,2141000000,13784000000,11643000000,10319000000,-28000000,770000000,85000000,1389000000,10000000.0,-22000000.0,22000000,18000000,555000000,-191000000,83000000,22000000.0,-274000000.0,-242000000.0,-169000000,386000000,-274000000
48,2012-06-30,USD,2071000000,12813000000,10742000000,9488000000,107000000,769000000,1082000000,1307000000,10000000.0,-21000000.0,21000000,50000000,485000000,116000000,109000000,21000000.0,7000000.0,-147000000.0,137000000,622000000,7000000
49,2012-03-31,USD,2000000000,13164000000,11164000000,10027000000,192000000,680000000,945000000,1204000000,12000000.0,-21000000.0,21000000,-99000000,457000000,173000000,43000000,21000000.0,130000000.0,272000000.0,194000000,651000000,130000000
50,2011-12-31,USD,17431000000,17431000000,14737000000,13831000000,260000000,547000000,863000000,968000000,14000000.0,-20000000.0,20000000,19000000,359000000,291000000,194000000,20000000.0,187000000.0,102000000.0,311000000,670000000,97000000
51,2011-09-30,USD,1711000000,10859000000,9148000000,8325000000,79000000,545000000,769000000,877000000,16000000.0,-17000000.0,17000000,52000000,278000000,-191000000,83000000,17000000.0,63000000.0,-147000000.0,-174000000,104000000,-274000000
52,2011-06-30,USD,1622000000,9898000000,8276000000,7525000000,201000000,507000000,698000000,807000000,16000000.0,-15000000.0,15000000,23000000,244000000,116000000,109000000,15000000.0,191000000.0,227000000.0,131000000,375000000,7000000
53,2011-03-31,USD,1575000000,9845000000,8270000000,7608000000,322000000,460000000,579000000,707000000,15000000.0,-12000000.0,12000000,-18000000,202000000,173000000,43000000,12000000.0,201000000.0,325000000.0,185000000,387000000,130000000
54,2010-12-31,USD,12948000000,12948000000,10866000000,10317000000,474000000,380000000,884000000,-18358000000,15000000.0,-11000000.0,11000000,29000000,169000000,500000000,84000000,11000000.0,422000000.0,356000000.0,511000000,680000000,416000000
55,2010-09-30,USD,1257000000,7551000000,6294000000,5786000000,268000000,358000000,442000000,7292000000,13000000.0,-11000000.0,11000000,22000000,150000000,310000000,79000000,11000000.0,231000000.0,382000000.0,321000000,471000000,231000000
56,2010-06-30,USD,1147000000,6557000000,5410000000,4957000000,270000000,324000000,408000000,6296000000,12000000.0,-9000000.0,9000000,24000000,130000000,295000000,88000000,9000000.0,207000000.0,70000000.0,304000000,434000000,207000000
57,2010-03-31,USD,1206000000,7124000000,5918000000,5501000000,394000000,298000000,366000000,6737000000,11000000.0,-7000000.0,7000000,3000000,120000000,399000000,100000000,7000000.0,299000000.0,210000000.0,406000000,526000000,299000000
58,2009-12-31,USD,1977000000,9519000000,8029000000,7543000000,476000000,374000000,1240000000,-9934000000,9000000.0,-8000000.0,8000000,-6000000,112000000,469000000,85000000,8000000.0,386000000.0,363000000.0,477000000,589000000,384000000
59,2009-09-30,USD,1273000000,5443000000,4504000000,4176000000,251000000,232000000,315000000,5198000000,7000000.0,-7000000.0,7000000,11000000,95000000,259000000,60000000,7000000.0,199000000.0,222000000.0,266000000,361000000,199000000
60,2009-06-30,USD,1133000000,4644000000,3808000000,3518000000,159000000,206000000,299000000,4492000000,8000000.0,-7000000.0,7000000,19000000,84000000,181000000,39000000,7000000.0,284000000.0,227000000.0,188000000,272000000,142000000
61,2009-03-31,USD,451000000,4889000000,4438000000,3741000000,244000000,68000000,275000000,4645000000,147409836.06557378,-250416666.66666666,12000000,4000000,87000000,246000000,69000000,255967213.1147541,2199524590.163934,2174295081.967213,258000000,331000000,177000000
62,2008-12-31,USD,522000000,6704000000,6182000000,5355000000,273000000,71000000,277000000,1075000000,147409836.06557378,-250416666.66666666,11000000,25000000,77000000,305000000,80000000,255967213.1147541,2199524590.163934,2174295081.967213,316000000,350000000,225000000
63,2008-09-30,USD,999000000,4264000000,3922000000,3265000000,154000000,73000000,264000000,845000000,147409836.06557378,-250416666.66666666,17000000,24000000,76000000,177000000,59000000,255967213.1147541,2199524590.163934,2174295081.967213,194000000,230000000,118000000
64,2008-06-30,USD,967000000,4063000000,3715000000,3096000000,217000000,74000000,258000000,750000000,147409836.06557378,-250416666.66666666,21000000,-8000000,70000000,204000000,46000000,255967213.1147541,2199524590.163934,2174295081.967213,225000000,287000000,158000000
