Date,RSI,Stochastic_Oscillator,Price_Gap,Federal_Funds_Rate_Quarterly,cashAndCashEquivalentsAtCarryingValue,totalNonCurrentAssets,intangibleAssets,shortTermInvestments,otherCurrentAssets,shortLongTermDebtTotal,commonStock,commonStockSharesOutstanding,operatingCashflow,changeInOperatingLiabilities,changeInOperatingAssets,changeInReceivables,changeInInventory,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,proceedsFromRepurchaseOfEquity,netIncome_x,surprise,surprisePercentage,operatingIncome,sellingGeneralAndAdministrative,investmentIncomeNet,netInterestIncome,interestExpense,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_y,Quarterly_Return,Volatility_Adjusted_Class,Year
2009-03-31,58.5120971730995,65.43087831459326,0.0014499942461649,0.1833333333333333,20693081967.21312,69762868852.45901,9838672131.14754,12573672131.14754,2440475409.836066,24155696428.571423,21852459.01639344,1924163934.4262292,7097983606.557377,1653786885.2459016,881721311.4754099,-1304035087.7192984,551016393.4426229,98360655.73770492,114098360.6557377,-138490566.03773585,2226311475.4098363,0.0,0.0,244000000.0,68000000.0,147409836.06557378,-250416666.66666663,12000000.0,246000000.0,69000000.0,255967213.1147541,2174295081.967213,258000000.0,331000000.0,177000000.0,0.1391612652391159,3,2009
2009-06-30,55.30969777651177,58.38347741025347,-0.0012539795466831,0.18,1936000000.0,2371000000.0,451000000.0,1276000000.0,183000000.0,109000000.0,4000000.0,432000000.0,468000000.0,50000000.0,7000000.0,-16000000.0,23000000.0,0.0,0.0,-3000000.0,142000000.0,0.0,0.0,159000000.0,206000000.0,8000000.0,-7000000.0,7000000.0,181000000.0,39000000.0,7000000.0,227000000.0,188000000.0,272000000.0,142000000.0,0.1159455231512244,3,2009
2009-09-30,53.23980684436389,53.72771192997467,-0.0039921887218952,0.1566666666666666,2514000000.0,2603000000.0,457000000.0,1487000000.0,80000000.0,116000000.0,4000000.0,433000000.0,799000000.0,698000000.0,431000000.0,155000000.0,276000000.0,0.0,0.0,-138490566.03773585,199000000.0,0.0,0.0,251000000.0,232000000.0,7000000.0,-7000000.0,7000000.0,259000000.0,60000000.0,7000000.0,222000000.0,266000000.0,361000000.0,199000000.0,0.4408739317387414,3,2009
2009-12-31,63.82604107069571,69.00480666759347,0.027390643954277,0.12,3444000000.0,4016000000.0,567000000.0,2922000000.0,272000000.0,252000000.0,5000000.0,444000000.0,2611000000.0,2662000000.0,848000000.0,509000000.0,339000000.0,0.0,0.0,-100000000.0,384000000.0,0.0,0.0,476000000.0,374000000.0,9000000.0,-8000000.0,8000000.0,469000000.0,85000000.0,8000000.0,363000000.0,477000000.0,589000000.0,384000000.0,0.009292298774856,2,2009
2010-03-31,51.02032719652544,48.48880668780145,0.0069918397997246,0.1333333333333333,1844000000.0,4078000000.0,1234000000.0,3219000000.0,266000000.0,131000000.0,5000000.0,446000000.0,-1098000000.0,-2253000000.0,-775000000.0,-454000000.0,-321000000.0,0.0,0.0,-138490566.03773585,299000000.0,0.0,0.0,394000000.0,298000000.0,11000000.0,-7000000.0,7000000.0,399000000.0,100000000.0,7000000.0,210000000.0,406000000.0,526000000.0,299000000.0,-0.1952566906116637,1,2010
2010-06-30,47.69390600952972,46.68532090472147,-0.0095079437134758,0.1933333333333333,1629000000.0,4279000000.0,1229000000.0,3479000000.0,265000000.0,132000000.0,5000000.0,448000000.0,250000000.0,119000000.0,183000000.0,42000000.0,141000000.0,0.0,0.0,-138490566.03773585,207000000.0,-0.01,-33.3333,270000000.0,324000000.0,12000000.0,-9000000.0,9000000.0,295000000.0,88000000.0,9000000.0,70000000.0,304000000.0,434000000.0,207000000.0,0.4374886366026778,3,2010
2010-09-30,62.92702812538514,74.28042277279044,-0.011624976992607,0.1866666666666666,1539000000.0,4603000000.0,1277000000.0,4346000000.0,200000000.0,164000000.0,5000000.0,449000000.0,855000000.0,1086000000.0,569000000.0,64000000.0,505000000.0,0.0,0.0,-138490566.03773585,231000000.0,0.01,50.0,268000000.0,358000000.0,13000000.0,-11000000.0,11000000.0,310000000.0,79000000.0,11000000.0,382000000.0,321000000.0,471000000.0,231000000.0,0.1460588070813322,3,2010
2010-12-31,59.47195037258311,66.95185392108044,0.0140156149864196,0.1866666666666666,3777000000.0,5613000000.0,563000000.0,4985000000.0,196000000.0,641000000.0,5000000.0,451000000.0,3488000000.0,4160000000.0,1336000000.0,643000000.0,693000000.0,0.0,0.0,-138490566.03773585,416000000.0,0.01,25.0,474000000.0,380000000.0,15000000.0,-11000000.0,11000000.0,500000000.0,84000000.0,11000000.0,356000000.0,511000000.0,680000000.0,416000000.0,0.0007222493489583,2,2010
2011-03-31,46.62817218846782,46.93232935585988,-0.0107017024870842,0.1566666666666666,2641000000.0,5594000000.0,1513000000.0,4240000000.0,215000000.0,24155696428.57143,5000000.0,452000000.0,-1586000000.0,-2832000000.0,-702000000.0,-359000000.0,-343000000.0,0.0,0.0,-138490566.03773585,130000000.0,-0.01,-33.3333,322000000.0,460000000.0,15000000.0,-12000000.0,12000000.0,173000000.0,43000000.0,12000000.0,325000000.0,185000000.0,387000000.0,130000000.0,0.1352355993223208,3,2011
2011-06-30,57.06665463236264,58.117103057606016,-0.001618945409381,0.0933333333333333,2047000000.0,6662000000.0,1909000000.0,4308000000.0,257000000.0,24155696428.57143,5000000.0,454000000.0,423000000.0,177000000.0,347000000.0,73000000.0,274000000.0,0.0,0.0,-138490566.03773585,7000000.0,0.0,0.0,201000000.0,507000000.0,16000000.0,-15000000.0,15000000.0,116000000.0,109000000.0,15000000.0,227000000.0,131000000.0,375000000.0,7000000.0,0.0574111115722966,3,2011
2011-09-30,58.3139221511028,62.15967883840197,0.0084999650716782,0.0833333333333333,2823000000.0,7342000000.0,1934000000.0,3503000000.0,312000000.0,2310000000.0,5000000.0,455000000.0,797000000.0,957000000.0,662000000.0,75000000.0,587000000.0,0.0,0.0,-138490566.03773585,-274000000.0,0.0,0.0,79000000.0,545000000.0,16000000.0,-17000000.0,17000000.0,-191000000.0,83000000.0,17000000.0,-147000000.0,-174000000.0,104000000.0,-274000000.0,-0.1994635289576427,1,2011
2011-12-31,41.79978635892207,41.51064144276896,-0.0024285392155721,0.0733333333333333,5269000000.0,8435000000.0,647000000.0,4307000000.0,351000000.0,1415000000.0,5000000.0,455000000.0,4269000000.0,5760000000.0,2337000000.0,1077000000.0,1260000000.0,0.0,0.0,-277000000.0,97000000.0,0.01,100.0,260000000.0,547000000.0,14000000.0,-20000000.0,20000000.0,291000000.0,194000000.0,20000000.0,102000000.0,311000000.0,670000000.0,97000000.0,0.1699017952327301,3,2011
2012-03-31,54.81455054143549,62.38319944995256,-0.022629061052876,0.1033333333333333,2288000000.0,8185000000.0,1970000000.0,3427000000.0,371000000.0,24155696428.57143,5000000.0,450000000.0,-2438000000.0,-4787000000.0,-1493000000.0,-746000000.0,-747000000.0,0.0,960000000.0,-960000000.0,130000000.0,-0.06,-85.7143,192000000.0,680000000.0,12000000.0,-21000000.0,21000000.0,173000000.0,43000000.0,21000000.0,272000000.0,194000000.0,651000000.0,130000000.0,0.127598622481906,3,2012
2012-06-30,54.63428261216564,53.96800616008162,0.0111110778081985,0.1533333333333333,2335000000.0,9203000000.0,2521000000.0,2635000000.0,408000000.0,24155696428.57143,5000000.0,452000000.0,594000000.0,239000000.0,290000000.0,166000000.0,124000000.0,0.0,0.0,0.0,7000000.0,-0.01,-50.0,107000000.0,769000000.0,10000000.0,-21000000.0,21000000.0,116000000.0,109000000.0,21000000.0,-147000000.0,137000000.0,622000000.0,7000000.0,0.1137289348015004,3,2012
2012-09-30,61.04616130451085,68.440676330404,0.0091190489511644,0.1433333333333333,2980000000.0,9678000000.0,2540000000.0,2268000000.0,413000000.0,24155696428.57143,5000000.0,453000000.0,943000000.0,1319000000.0,1063000000.0,416000000.0,647000000.0,0.0,0.0,0.0,-274000000.0,0.07,87.5,-28000000.0,770000000.0,10000000.0,-22000000.0,22000000.0,-191000000.0,83000000.0,22000000.0,-242000000.0,-169000000.0,386000000.0,-274000000.0,-0.0135655600864336,2,2012
2012-12-31,51.24748538273822,49.74166574733031,0.0057983552255935,0.16,8084000000.0,11861000000.0,3277000000.0,3364000000.0,453000000.0,3691000000.0,5000000.0,454000000.0,5081000000.0,6337000000.0,1999000000.0,1025000000.0,974000000.0,0.0,0.0,0.0,97000000.0,0.0,0.0,405000000.0,677000000.0,8000000.0,-27000000.0,27000000.0,291000000.0,194000000.0,27000000.0,155000000.0,318000000.0,980000000.0,97000000.0,0.0622633348470779,3,2012
2013-03-31,53.3705199144237,54.51298458728365,0.0307332515716554,0.1433333333333333,4481000000.0,11941000000.0,2535000000.0,3414000000.0,507000000.0,3718000000.0,5000000.0,455000000.0,-2372000000.0,-4890000000.0,-1264000000.0,-729000000.0,-535000000.0,0.0,0.0,0.0,82000000.0,-0.07,-87.5,181000000.0,878000000.0,10000000.0,-33000000.0,33000000.0,100000000.0,18000000.0,33000000.0,2000000.0,133000000.0,834000000.0,82000000.0,0.0420278031006995,2,2013
2013-06-30,54.128972996727526,58.63008950812671,-0.0045391023159024,0.1166666666666666,3704000000.0,13210000000.0,2614000000.0,3759000000.0,541000000.0,3733000000.0,5000000.0,457000000.0,880000000.0,-77000000.0,241000000.0,211000000.0,30000000.0,0.0,0.0,0.0,-7000000.0,-0.07,-140.0,79000000.0,961000000.0,9000000.0,-33000000.0,33000000.0,-20000000.0,-13000000.0,33000000.0,-7000000.0,13000000.0,770000000.0,-7000000.0,0.1258598059901696,3,2013
2013-09-30,58.74630299491757,61.60210735034526,0.0057187825441359,0.0833333333333333,3872000000.0,14399000000.0,2635000000.0,3817000000.0,520000000.0,3723000000.0,5000000.0,458000000.0,1388000000.0,1619000000.0,586000000.0,-125000000.0,586000000.0,0.0,0.0,0.0,-41000000.0,0.0,0.0,-25000000.0,972000000.0,9000000.0,-36000000.0,36000000.0,-29000000.0,12000000.0,36000000.0,72000000.0,7000000.0,841000000.0,-41000000.0,0.2755566048901432,3,2013
2013-12-31,63.00807322508833,72.006406102494,0.0547655820846557,0.0866666666666666,8658000000.0,16179000000.0,2655000000.0,3789000000.0,-4767000000.0,3967000000.0,5000000.0,459000000.0,5578000000.0,5947000000.0,1330000000.0,-1239000000.0,1330000000.0,0.0,0.0,0.0,239000000.0,0.0,0.0,510000000.0,718000000.0,10000000.0,-39000000.0,39000000.0,60000000.0,-179000000.0,39000000.0,261000000.0,99000000.0,1061000000.0,239000000.0,-0.1565234917291791,1,2013
2014-03-31,49.45962772555382,48.13078413302253,0.0092948225677996,0.0733333333333333,5074000000.0,17037000000.0,2653000000.0,3592000000.0,3945000000.0,3931000000.0,5000000.0,460000000.0,-2502000000.0,-3583000000.0,-699000000.0,727000000.0,-699000000.0,0.0,0.0,0.0,108000000.0,0.0,0.0,146000000.0,1197000000.0,11000000.0,-42000000.0,42000000.0,181000000.0,73000000.0,42000000.0,136000000.0,223000000.0,1233000000.0,108000000.0,-0.0344561156160457,2,2014
2014-06-30,47.87812302569179,47.83006219654016,0.0061031674581859,0.0933333333333333,5057000000.0,19143000000.0,2677000000.0,2929000000.0,4125000000.0,4000000000.0,5000000.0,462000000.0,862000000.0,550000000.0,-92000000.0,-299000000.0,-92000000.0,0.0,0.0,0.0,-126000000.0,0.0,0.0,-15000000.0,1320000000.0,11000000.0,-45000000.0,45000000.0,-32000000.0,94000000.0,45000000.0,-113000000.0,13000000.0,1122000000.0,-126000000.0,-0.007204912711699,2,2014
2014-09-30,52.373246674172606,52.35472343988822,-0.0166406184434891,0.09,5258000000.0,21847000000.0,3332000000.0,1625000000.0,4373000000.0,3983000000.0,5000000.0,463000000.0,1766000000.0,2793000000.0,845000000.0,-362000000.0,845000000.0,0.0,0.0,0.0,-437000000.0,-0.01,-25.0,-544000000.0,1399000000.0,9000000.0,-49000000.0,49000000.0,-642000000.0,-205000000.0,49000000.0,-688000000.0,-593000000.0,654000000.0,-437000000.0,-0.0374953372175163,2,2014
2014-12-31,46.41144210442734,46.418135047281154,-0.0186094492673873,0.0999999999999999,14557000000.0,23942000000.0,4083000000.0,2859000000.0,-5612000000.0,9881000000.0,5000000.0,465000000.0,6715000000.0,6431000000.0,1139000000.0,-1105000000.0,1139000000.0,0.0,0.0,0.0,214000000.0,0.01,100.0,591000000.0,936000000.0,8000000.0,-74000000.0,74000000.0,419000000.0,205000000.0,74000000.0,97000000.0,493000000.0,1873000000.0,214000000.0,0.1989688824688508,3,2014
2015-03-31,57.364671641968826,56.73991595004397,0.0122131441460276,0.11,10237000000.0,24153000000.0,3491000000.0,3544000000.0,4772000000.0,9729000000.0,5000000.0,466000000.0,-1499000000.0,-2446000000.0,-721000000.0,441000000.0,-721000000.0,0.0,0.0,0.0,-57000000.0,0.0,0.0,255000000.0,1510000000.0,11000000.0,-115000000.0,115000000.0,14000000.0,71000000.0,115000000.0,-298000000.0,129000000.0,1555000000.0,-57000000.0,0.1665950407088997,3,2015
2015-06-30,58.29343377934121,62.59259258419463,0.0450159103151364,0.1233333333333333,10269000000.0,26049000000.0,3523000000.0,3732000000.0,4920000000.0,9602000000.0,5000000.0,468000000.0,1997000000.0,1770000000.0,27000000.0,-430000000.0,27000000.0,0.0,0.0,0.0,92000000.0,0.02,200.0,464000000.0,1617000000.0,12000000.0,-114000000.0,114000000.0,358000000.0,266000000.0,114000000.0,227000000.0,472000000.0,1976000000.0,92000000.0,0.1792254764724602,3,2015
2015-09-30,60.31868514312631,63.27962367835133,0.1294689178466797,0.1366666666666667,10709000000.0,27381000000.0,3529000000.0,3719000000.0,5440000000.0,9451000000.0,5000000.0,469000000.0,2610000000.0,3809000000.0,1537000000.0,-588000000.0,1537000000.0,0.0,0.0,0.0,79000000.0,0.02,200.0,406000000.0,1727000000.0,13000000.0,-116000000.0,116000000.0,240000000.0,161000000.0,116000000.0,21000000.0,356000000.0,1955000000.0,79000000.0,0.3203812923707772,3,2015
